					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
ariR.ymgC.IGT	rprA	IGT	sRNA	-18.56	29760.3	6	637.9	3	15718.0	2
hcaR	hcaT	CDS	CDS	-12.88	19104.6	U	839.0	U	10965.8	1
yfjX.yfjW.IGR	sgrS	IGR	sRNA	-11.5			5360.1	1		
allE.EST3UTR	yeaD.EST3UTR	3UTR	3UTR	-14.03	316.4	U	1428.1	U	75.3	U
osmB.EST3UTR	rprA	3UTR	sRNA	-12.67	1409.3	U				
yjtD	yjtD.thrL.IGR	CDS	IGR	-10.7	27.5	2	1180.7	U	47.4	1
dinI	sulA.ompA.IGR	CDS	IGR	-13.39	278.7	1	1044.3	2	939.0	3
osmB	rprA	CDS	sRNA	-12.75			65.1	1	997.2	1
hycB.hycA.IGT	cpxP.3UTR	IGT	3UTR	-11.15	554.6	4	142.2	1	891.3	1
nmpC	G0-10697	CDS	other-ncRNA	-5.84	770.6	4	358.4	3	296.0	1
glmS.glmU.IGT	glmZ.hemY.IGR	IGT	IGR	-11.43	386.6	6	325.3	3	757.5	2
yncL	sieB.kilR.IGR	CDS	IGR	-10.98	575.0	U	683.2	3	526.0	U
ybcM	ymfH	CDS	CDS	-6.72	264.5	U	362.4	1	654.1	2
lacA.lacY.IGT_AS	arcZ	AS	sRNA	-2.43			607.7	2		
dmsA	ryhB	CDS	sRNA	-16.13	585.4	6	562.5	3	15.8	3
essD	ykgH.EST3UTR	CDS	3UTR	-4.26	101.7	U	524.4	U	202.9	1
tsx	yjfY.EST3UTR	CDS	3UTR	-3.74	268.3	U			512.2	2
csgD	rprA	CDS	sRNA	-18.82	470.4	U	11.5	3	73.3	1
bglX.osmF.IGR	arcZ	IGR	sRNA	-9	11.1	U	374.3	3	43.5	2
uhpT	insD-2.ynbG.IGR	CDS	IGR	-14.92					360.3	U
aceF	afuC.EST3UTR	CDS	3UTR	-4.97	347.1	U				
nadE	nadE.cho.IGR	CDS	IGR	-7.96	331.5	U				
insH-4	G0-10697	CDS	other-ncRNA	-0.43			307.0	1		
pgpB.AS	arcZ	AS	sRNA	-7.45	88.8	U	36.2	2	286.4	3
yagE	arcZ	CDS	sRNA	-5.2	7.8	3	264.0	3	49.2	3
G0-10698	ybiJ.ybiC.IGR	other-ncRNA	IGR	-5.36			255.0	1	126.1	1
rpoS	dsrA	CDS	sRNA	-10.18	79.1	6	113.3	3	254.2	3
bacA	malG.3UTR	CDS	3UTR	-4.52			247.2	2		
yeiH	cyaR	CDS	sRNA	-12.09	98.5	6	52.9	3	239.4	3
flgH	asnW.yeeN.IGR	CDS	IGR	-9.48	167.8	2			236.8	1
glpF	oxyS	CDS	sRNA	-11.41	30.6	6	187.3	3	23.4	3
csgD	mcaS	CDS	sRNA	-16.1	92.5	2	31.0	3	184.7	3
ptsG	sgrS	CDS	sRNA	-16.67	147.6	6	183.4	2	143.5	3
hybO	minE.ycgI.IGR	CDS	IGR	-3.3	21.5	U	179.0	1		
gcd	cpxP.3UTR	CDS	3UTR	-11.66	41.9	U	177.7	3	123.8	1
yghJ.EST3UTR	arcZ	3UTR	sRNA	-3.87			168.3	2		
sbmA	yhcN.EST3UTR	CDS	3UTR	-5.6	164.9	2			92.4	1
aspC.ycbL.IGR	arcZ	IGR	sRNA	-9.92	2.0	1	163.3	3	10.6	2
ylcI.ybcW.IGR	arcZ	IGR	sRNA	-9.74	56.6	1	158.9	2	58.6	1
yncL	rprA	CDS	sRNA	-10.88	128.2	3	99.4	3	158.8	3
yigL	sgrS	CDS	sRNA	-14.51	131.3	2			158.7	2
gadC.AS	arcZ	AS	sRNA	-9.1			157.8	2	43.9	U
arrS	ymgE	cis_AS_with_trans_t	CDS	-7.52			156.4	3		
alaA.lrhA.IGR	rprA	IGR	sRNA	-7.12	80.9	2	67.3	3	153.6	3
smpB	leuZ.yecA.IGR	CDS	IGR	-10.7	8.5	U	147.5	1	9.2	1
ycaM	cpxP.3UTR	CDS	3UTR	-10.26	61.8	1	31.1	U	147.0	1
G0-10698	yjfY.EST3UTR	other-ncRNA	3UTR	-7.03			142.7	U		
ytfQ.ytfR.IGT	arcZ	IGT	sRNA	-16.81	32.8	5	141.8	3	51.8	3
eptB	mgrR	CDS	sRNA	-10.93	138.9	6	63.6	3	123.6	3
dmlR	leuE	CDS	CDS	-15.65					129.3	U
